split,input_text,target_text,prediction,sentence_cer,sentence_wer,exact_match,error_categories
test,Li fer client fume bred mourom saaa,Li fer client fume bred mourom sa.,Li fer  llinnt fume bere dourmommamasasaaaaa.,0.5,0.5714285714285714,False,capitalization_error;spacing_error;missing_word_error
test,Eski pou ena lekol demain????? Svp,Eski pu ena lekol demain????? Svp.,Eski pu  ena lekol deman???????,0.20588235294117646,0.3333333333333333,False,punctuation_error;capitalization_error;spacing_error;missing_word_error
test,"1danger public. bzn bez fermer pna caution,cbn case lor li la","1 danger public. Bizin bez ferme pena caution, se bann case lor li la.",Gdannger public.. Bizbbez zer en pa pauticonconconconce ll lllllllllllllllllallalallalalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalallalal,3.1,1.0,False,punctuation_error;capitalization_error;spacing_error;missing_word_error
test,Bientôt cryptoplok pou ale ramasse savonnette 🤣😂,Bientôt cryptoplok pu ale ramasse savonnette. 🤣😂,Bientt ccryppopoloko pu ale ramasssasse savannetet.,0.3125,0.7142857142857143,False,capitalization_error;spacing_error;missing_word_error
test,Espere li pa gn lagard de l'enfant,Espere li pa gagne lagard de l'enfant.,Espere li pa gang lagarddde lennfanfannt.,0.23684210526315788,0.5714285714285714,False,capitalization_error;spacing_error;missing_word_error
test,Parent ki penser si pa met leson piti la pa pou passer mo ena ene tifi zamer lin pren leson dan so la vie et pourtan lin travay super bien lin mem participe dan ban competition kot lin gagner zordi li p alle universite malgre li pa ti pren okaine leson et li ti tou l temp z best dan so classe dan recre li ti p aide ban zenfan ki ti p pren leson et pa ti p conne zte devoir li re explik zte li ti coma ene ti miss,"Parent ki pense? Si pa met lesson, piti la pa pu passe. Mo ena enn tifi zame linn pran lesson dan so lavi et pourtan linn travail super bien linn mem participe dan bann competition kot linn gagne. Zordi li pe ale universite malgre li pa ti pran okenn lesson. Et li ti tultan the best dan so classe. Dan recre li ti pe aide bann zanfan ki ti pe pran lesson et pa ti pe kone zot devoir li re eksplik zot. Li ti kuma enn ti miss.",Parent ki pense si pa met le sonn pi pi pa pa pa pe pe sa se  en  en  en  en  en  la fen  la  la  la  la  la  la  la  inn  la  inn  la pe  inn  an    pa pe  inn  an    pa pe pa pe pa pe pa pa pe pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pe pa pa pe inn,0.6173708920187794,0.898876404494382,False,punctuation_error;capitalization_error;spacing_error;missing_word_error
test,Kan la met 3 crédit pou hsc ça pas incite ban élève moyen travail plus. Ban ce k brillant pou rest top zot. Tandis ce ki ena trois crédit li dire pas casse la têteo coner mo pou fair hsc. Beaucoup ban ce ki ena 3 crédit bizin faire 3 ans au lieu 2 ans hsc pou gagne ene résultat correct sinon résulta la faible dan la majorité des cas. Pou universitaire bizin ena ene bon bagage. La dans cpv ena 1 ou 2 exception mais en général non. Mo garanti ki le taux de réussite pou chuter encore l’année prochain. Ca quantité resource ki ene parent bizin et ki l’état dépenser mo trouver li mouilleur pou 3 crédit alle vers polytechnique ou technique parceki dans trois ans la bas ou sorti avec ene certificat ki permettre ene employabilité instantané. Moi mo fine faire l’expérience et avec preuve à l’appui mo cpv challenge n’importe ki que ce soit,Kan la met 3 crédit pu HSC sa pas incite bann élève moyen travail plus. Bann seki brillant pu reste top zot. Tandis seki ena trois crédit li dire pas kase la tête kone mo pu fer HSC. Beaucoup bann seki ena 3 crédit bizin faire 3 ans au lieu 2 ans HSC pu gagne enn résultat correct sinon rezilta la faible dan la majorité des cas. Pu universitaire bizin ena enn bon bagage. Ladan kapav ena 1 ou 2 exception mais en général non. Mo garanti ki le taux de réussite pu chuter encore l’année prochain. Sa quantité resource ki enn parent bizin et ki l’état dépenser mo truve li meilleur pu 3 crédit ale vers polytechnique ou technique parski dans trois ans laba ou sorti avec enn certificat ki permettre enn employabilité instantané. Moi mo finn faire l’expérience et avec preuve à l’appui mo kapav challenge n’importe ki que se soit.,Kan la met  c rcrddit pu sh sa sa sa si cinn bann  lave le lave la la la  la   bann                                                                                                                                                                            ,0.9032648125755743,0.9477124183006536,False,punctuation_error;capitalization_error;spacing_error;missing_word_error
test,Ena 1 prof dan 1 college privee a flacq ki fer computer science mem li pa fer so travail bien dan college lin ramasse tou eleves e donne zot leçon li monte ban eleves so la tete contre les autres prof e prnd les autres prof so eleves si pu li so class leçon computer science rempli e les autres prof zot class pena mem eleve leçon miss la bizin fer so travail honetement dan lekol mem en 1er aulieu monte la tete eleve,"Ena 1 professur dan 1 college prive a Flacq kifer Computer Science. Mem li pa fer so travail bien dan college linn ramasse tu zelev et donne zot leçon, li monte bann eleves so latet contre les autres professeur et prnd les autres professeur so zelev si. Pu li so class leçon Computer Science rempli et les autres professeur zot class pena mem zelev leçon. Miss la bizin fer so travail honetement dan lekol mem en 1er aulieu monte latee zelev.",Ena 1 proffe dann 1  ollege preve  ala facce fer ki ki ceme ceme ceme ci e                                       la  e la le la le la le la le le le le le le le le le le  le le le  le le le  le le  le le  le le  le  le  le le  le  le  le  le so e  le  le ,0.6447963800904978,0.9382716049382716,False,punctuation_error;capitalization_error;spacing_error;missing_word_error
test,Pa ou garçon kin fer crime.. Ok... B la levre ek nene la kisana ti morde madame🤣🤣🤣🤣🤣..,Pa ou garçon kinn fer crime.. Ok... B la levre ek nene la kisanla ti morde madame🤣🤣🤣🤣🤣..,Pa ou garronn kinn fer  reme............. La le ee enn enn  an a an  mamade mamademama.🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2.272727272727273,0.7647058823529411,False,punctuation_error;capitalization_error;spacing_error;missing_word_error
test,Meteo maurice nkor p veye lapli li,Meteo Maurice ankor pe veye lapli li.,Mete maurice nnkor pe veye laplililili.,0.1891891891891892,0.7142857142857143,False,capitalization_error;spacing_error;missing_word_error
