split,input_text,target_text,prediction,sentence_cer,sentence_wer,exact_match,error_categories
test,"[NAME], nous gagne l'amende si saleté comme ça devant nous la porte","[NAME], nous gagne l'amende si salte comme sa devant nous la porte.","[NAME], nous gagne l'amende si salté comme sa devant nous la porte.",0.014925373134328358,0.08333333333333333,False,orthographic_or_word_choice_error
test,Pou inogirasion,Pu inogirasion.,Pu inogirasyon.,0.06666666666666667,0.5,False,orthographic_or_word_choice_error
test,De quel pays etranger sont ces travailleurs? fr nuuu konerr dohh,De quel pays etranger sont ces travailleurs? Fer nu kone dow.,De quel pays etranzer sont ces travailleurs? Fer nu kone dow.,0.01639344262295082,0.09090909090909091,False,orthographic_or_word_choice_error
test,Cot securiter ek cctv camera???,Kot sekurite ek CCTV camera???,Kot sekirite ek CCTV camera???,0.03333333333333333,0.2,False,orthographic_or_word_choice_error
test,Sa pu fini vadr game of thrones sa..,Sa pu fini wadire Game of Thrones sa..,Sa pu fini vadire Game of Thrones sa..,0.02631578947368421,0.125,False,orthographic_or_word_choice_error
test,"[NAME], wai mais mo kone buku docterr ki etre forcer pu fer 24, eski to penser apres 20 hrs lourd, tone vini avec ene cas grave, eski dokterr la pu 100% pu guet tw","[NAME], oui mais mo kone buku docteur ki etre force pu fer 24, eski to pense apre 20hr lourd, tonn vini avec enn cas grave, eski docteur la pu 100% pu get twa?","[NAME], wai mais mo kone buku docteur ki etre force pu fer 24, eski to pense apre 20hr lourd, tonn vini avec enn cas grave, eski docteur la pu 100% pu get twa?",0.012578616352201259,0.030303030303030304,False,orthographic_or_word_choice_error
test,Guet kot lepep p aler... Dans film ek sa ban buffon la,Get kot lepep pe ale... Dans film ek sa bann boufon la.,Get kot lepep pe ale... Dans film ek sa bann buffon la.,0.03636363636363636,0.08333333333333333,False,orthographic_or_word_choice_error
test,Enan kiksose louche dans sa zafair la,Ena kitsoz louche dans sa zafer la.,Ena kiksoz louche dans sa zafer la.,0.02857142857142857,0.14285714285714285,False,orthographic_or_word_choice_error
test,Jis play back fr n live tasse sa,Zis play back fer enn live tasse sa.,Jis play back fer enn live tasse sa.,0.027777777777777776,0.125,False,orthographic_or_word_choice_error
test,Ban coment la🔥,Bann comment la🔥.,Bann comment la.🔥,0.11764705882352941,0.3333333333333333,False,orthographic_or_word_choice_error
test,Enn canard boite ki pe krwar li nn phoenix,Enn canard boite ki pe krwar li enn Phoenix.,Enn canard boite ki pe krwar li non Phoenix.,0.045454545454545456,0.1111111111111111,False,orthographic_or_word_choice_error
test,Mamou ena canaaarrd 🦆,Mamou ena canard. 🦆,Mamou ena kanard. 🦆,0.05263157894736842,0.25,False,orthographic_or_word_choice_error
