split,input_text,target_text,prediction,sentence_cer,sentence_wer,exact_match,error_categories
test,Sofer simik ou ena pli boukou lalkol dn so disan so lizie flou li kwar li lor priorite pou li,Sofer simik ou ena plis buku lalkol dan so disang. So lizye flou li krwar li lor priorite pu li.,"Sofer simik ou ena plis buku lalkol dan so disang, so lizye flou. Li krwar li lor priorite pu li.",0.041666666666666664,0.2,False,punctuation_error;capitalization_error;spacing_error
test,Bour dife da loto la,Boure dife dan loto la.,Boure dife da loto la.,0.043478260869565216,0.2,False,capitalization_error;spacing_error
test,ESKI LEGAL SA DIMOUN TRAVAY 24/7 SIRTOU DAN SECTEUR MEDICAL SERVICE BIZIN OUVER 24/7 MAIS PAR ROTATION,ESKI LEGAL SA DIMUNN travail 24/7?? SIRTU DAN SECTEUR MEDICAL? SERVICE BIZIN OUVER 24/7 MAIS PAR ROTATION.,ESKI LEGAL SA DIMUNN travail 24/7 SURTOUT DAN SECTEUR MEDICAL SERVICE BIZIN OUVER 24/7 MAIS PAR ROTATION.,0.05660377358490566,0.17647058823529413,False,punctuation_error;capitalization_error;spacing_error
test,Ton polo ou fine bien faire pou ca pays la mo pense ou bizin alle repose kapav ou ena raison mais ou pas pou kapav change le monde.. Plito ou alle la tete haute.. Ou fine donne ou contribution,"Ton Polo, ou finn bien faire pu sa pays la. Mo pense ou bizin ale repose. Kapav ou ena raison, mais ou pas pu kapav change le monde.. Plito ou ale latet haute.. Ou finn donne ou contribution.","Ton Polo, ou finn bien faire pu sa pays la, mo pense ou bizin ale repose kapav ou ena raison mais ou pas pu kapav change le monde.. Plito ou ale latet haute.. Ou finn donne ou contribution.",0.02617801047120419,0.13157894736842105,False,punctuation_error;capitalization_error;spacing_error
test,Ferme ta guele conasse,Ferme ta guele conasse.,Ferme ta gel konas.,0.21739130434782608,0.5,False,capitalization_error;spacing_error
test,To finn fail.. Nothing pu protect sa simple policier la from evryday agression..,To finn fail.. Nothing pu protect sa simple policier la from everyday agression.,To finn fail.. Nothing pu protect sa simple policier la from everyday agression..,0.0125,0.07692307692307693,False,punctuation_error;spacing_error
test,Geut so zar largent facile li faire my god,Get so zar larzan facile li faire my God.,Get so zar larzan facile. Li faire My God.,0.07317073170731707,0.3333333333333333,False,punctuation_error;capitalization_error;spacing_error
test,Sa zafer la pnna vaccine contre sa... à prendre vraiment au sérieux...... niveau maximal je dirai,Sa zafer la pena vaccine contre sa... à prendre vraiment au sérieux...... niveau maximal je dirai,Sa zafer la pena vaccine contre sa... à prendre vraiment au sérieux...... Niveau maximal je dirai.,0.020618556701030927,0.125,False,punctuation_error;capitalization_error;spacing_error
test,"[NAME], tifi la meme ine dire pas ti ena aucun baby quan li ti alle cot li supposer faire baby sitter la","[NAME], tifi lamem inn dire, pas ti ena aucun baby kan li ti ale kot li supposer faire babysitter la.","[NAME], tifi lamem inn dire pas ti ena aucun baby. Kan li ti ale kot li supposer faire babysitter la.",0.0297029702970297,0.15,False,punctuation_error;capitalization_error;spacing_error
test,Depi to p chant sa eclak so baraz bcp problem p gagne stop r sa do 😡,"Depi to pe sante, sa eclate so baraz, buku problem pe gagne stop ar sa dow. 😡","Depi to pe chante sa eclak so baraz, buku problem pe gagne stop ar sa dow. 😡",0.06493506493506493,0.11764705882352941,False,punctuation_error;spacing_error
test,Sorry mais avek nu cher Government 😅😅 zafair parait Dan pince n chance mo Dan UK loll,Sorry mais avek nu cher government 😅😅 zafer paret dan pince. Enn chance mo dan UK lol.,Sorry mais avek nu cher government 😅😅 zafer paret dan pince enn chance mo dan UK lol.,0.023255813953488372,0.11764705882352941,False,punctuation_error;capitalization_error;spacing_error
test,Mo trouve kuma dr camion la ine guet zis cot kot loto la p vini li pann dne le temps camion la full tord priorit pr van la🤦‍♀️🤦‍♀️🤦‍♀️,"Mo truve kumadir camion la inn get zis kot kot loto la pe vini, li pann donne letan. Camion la full antor. Priorite pour van la.🤦‍♀️🤦‍♀️🤦‍♀️",Mo truve kumadir camion la inn get zis kot kot loto la pe vini. Li pann donne letan camion la full tord priorite par van la.🤦‍♀️🤦‍♀️🤦‍♀️,0.07142857142857142,0.2692307692307692,False,punctuation_error;capitalization_error;spacing_error
test,"[NAME], bizin coupe so la main pou ki jamain li capav trap volant coumsa toute long so ladies li pou conne kifer so lamain fin coupez","[NAME], bizin coupe so la main pu ki zame li kapav trape volant. Kumsa toute long so lavi li pu kone kifer so lamain finn coupe.","[NAME], bizin coupe so la main pu ki jamain li kapav trape volant kumsa. Toute long so ladies li pu kone kifer so lamain finn coupe.",0.0859375,0.19230769230769232,False,capitalization_error;spacing_error
test,Kumndia film papaohhh ek kumn lin kav ress trankil 9 ans sa pan manz li endn 🤷‍♀️,Kumadir film papa ek kuma linn kapav res trankil 9 ans? Sa pann manze li endan. 🤷‍♀️,Kumadir film papaoh ek kuma linn kapav res trankil. 9 ans sa pann manze li endan. 🤷‍♀️,0.05952380952380952,0.23529411764705882,False,punctuation_error;capitalization_error;spacing_error
test,Linn roder linn ggner.....,Linn rode linn gagne.....,"Linn rode, linn gagne.....",0.04,0.25,False,punctuation_error;spacing_error
test,"[NAME], pareil cmt beaucoup p work dans magazin la boutik etc li pareil ban comments certains dimounes ça ouf🤦‍♀️","[NAME], pareil kuma beaucoup pe work dans magazin, la boutik etc, li pareil! Bann comments certains dimunn sa, ouf.🤦‍♀️","[NAME], pareil kuma beaucoup pe work dans magazin la boutik, etc. Li pareil bann comments certains dimunn sa ouf.🤦‍♀️",0.058823529411764705,0.3684210526315789,False,punctuation_error;capitalization_error;spacing_error
test,Boss depi oune tire sa chanter la Vraiiem tou chauffeur p eclat baraz en 2026 👊,"Boss, depi ou tire sa chanter la vraimen tu chauffeur pe eclate baraz en 2026. 👊",Boss depi ou tire sa chante la. Vraimem tu chauffeur pe eclate baraz en 2026. 👊,0.0625,0.25,False,punctuation_error;capitalization_error;spacing_error
