split,input_text,target_text,prediction,sentence_cer,sentence_wer,exact_match,error_categories
test,Meme Pas dans envelope?,Mem pas dans envelope?,Mem pas dans envelope?,0.0,0.0,True,correct
test,Li fer client fume bred mourom saaa,Li fer client fume bred mourom sa.,Li fer client fume bred mourom sa.,0.0,0.0,True,correct
test,Linn roder linn ggner.....,Linn rode linn gagne.....,Linn rode linn gagne.....,0.0,0.0,True,correct
test,[NAME] einn?? Ki pou fer???,[NAME] ein?? Ki pu fer???,[NAME] ein?? Ki pu fer???,0.0,0.0,True,correct
test,Pren compte nu ban emergency food supply pendant carem😐,Pran compte nu bann emergency food supply pendant carem.😐,Pran compte nu bann emergency food supply pendant carem.😐,0.0,0.0,True,correct
test,Ki rôle mama la?,Ki rôle mama la?,Ki rôle mama la?,0.0,0.0,True,correct
test,Ferme impe do piitii,Ferme enpe dow piti.,Ferme enpe dow piti.,0.0,0.0,True,correct
test,"[NAME], to kone ki la boutique sa","[NAME], to kone ki la boutique sa?","[NAME], to kone ki la boutique sa?",0.0,0.0,True,correct
test,Bientôt cryptoplok pou ale ramasse savonnette 🤣😂,Bientôt cryptoplok pu ale ramasse savonnette. 🤣😂,Bientôt cryptoplok pu ale ramasse savonnette. 🤣😂,0.0,0.0,True,correct
test,Ena le rat et mangoose si là-bas,Ena le rat et mangoose si là-bas.,Ena le rat et mangoose si là-bas.,0.0,0.0,True,correct
test,Espere li pa gn lagard de l'enfant,Espere li pa gagne lagard de l'enfant.,Espere li pa gagne lagard de l'enfant.,0.0,0.0,True,correct
test,Capave tir 1 communique pou pa al travail s'il vous plait,Kapav tire 1 communique pu pa ale travail s'il vous plait.,Kapav tire 1 communique pu pa ale travail s'il vous plait.,0.0,0.0,True,correct
test,Faut voir pour croire,Faut voir pour croire.,Faut voir pour croire.,0.0,0.0,True,correct
test,Malediction pu beiiz zot sa,Malediction pu bez zot sa.,Malediction pu bez zot sa.,0.0,0.0,True,correct
test,Meteo maurice nkor p veye lapli li,Meteo Maurice ankor pe veye lapli li.,Meteo Maurice ankor pe veye lapli li.,0.0,0.0,True,correct
test,Gajack paré,Gajack pare.,Gajack pare.,0.0,0.0,True,correct
test,Clown 🤡,Clown. 🤡,Clown. 🤡,0.0,0.0,True,correct
test,No changement at all still the same as previous government gros poisson touletan ti protezer,No changement at all still the same as previous government. Gros poisson tultan ti protez.,No changement at all still the same as previous government. Gros poisson tultan ti protez.,0.0,0.0,True,correct
test,Pauvre bébé q paye le pot cassé ene ti innocent 😥,Pauvre bébé qui peye le pot kase enn ti innocent. 😥,Pauvre bébé qui peye le pot kase enn ti innocent. 😥,0.0,0.0,True,correct
test,Dan so la tete ki ena sa boug la?! 🤣,Dan so latet ki ena sa boug la?! 🤣,Dan so latet ki ena sa boug la?! 🤣,0.0,0.0,True,correct
test,Netflix mort are sa senario la,Netflix mort ar sa senario la.,Netflix mort ar sa senario la.,0.0,0.0,True,correct
test,"Education in vin ene business, anyway!","Education inn vinn enn business, anyway!","Education inn vinn enn business, anyway!",0.0,0.0,True,correct
test,Station la vintage sa,Station la vintage sa.,Station la vintage sa.,0.0,0.0,True,correct
test,Moi mo bin pa bizin legant pou levé. Mo garde li prop et plastic poubelle endans. Bizin comprend dimoune la,Moi mo bin pa bizin legant pu leve. Mo garde li prop et plastic poubelle endan. Bizin comprend dimunn la.,Moi mo bin pa bizin legant pu leve. Mo garde li prop et plastic poubelle endan. Bizin comprend dimunn la.,0.0,0.0,True,correct
test,Sa ban minis la osi p kokin par million mai zamer trouve zot meT sa,Sa bann minis la osi pe kokin par million me zame truve zot met sa.,Sa bann minis la osi pe kokin par million me zame truve zot met sa.,0.0,0.0,True,correct
test,mari mal compren sa,Mari mal konpran sa.,Mari mal konpran sa.,0.0,0.0,True,correct
test,Trop guete film do. Attention to mm bez endans,Trop get film dow. Attention tomem bez endan.,Trop get film dow. Attention tomem bez endan.,0.0,0.0,True,correct
test,Bour sa 2 clak do,Boure sa 2 clak dow.,Boure sa 2 clak dow.,0.0,0.0,True,correct
test,Bizin saute la main pa capav tolerer sa!!!,Bizin saute la main pa kapav tolere sa!!!,Bizin saute la main pa kapav tolere sa!!!,0.0,0.0,True,correct
test,Premier fois mo tend ou kozer... Ou pas paret bien intelligent entoula🤣,Premier fois mo tande ou koze... Ou pas paret bien intelligent entuka.🤣,Premier fois mo tande ou koze... Ou pas paret bien intelligent entuka.🤣,0.0,0.0,True,correct
test,Bizin met li dehor sa,Bizin met li deor sa.,Bizin met li deor sa.,0.0,0.0,True,correct
test,"[NAME], place to p zazer batiara","[NAME], place to pe zaze batiara.","[NAME], place to pe zaze batiara.",0.0,0.0,True,correct
test,Lontan pa tane li sa,Lontan pa tande li sa.,Lontan pa tande li sa.,0.0,0.0,True,correct
test,Bien zoli…,Bien zoli…,Bien zoli…,0.0,0.0,True,correct
test,To cone boussou?,To kone boussou?,To kone boussou?,0.0,0.0,True,correct
test,Ban zanfan zot longanis ine fanE 😅😅,Bann zanfan zot longanis inn fane. 😅😅,Bann zanfan zot longanis inn fane. 😅😅,0.0,0.0,True,correct
test,Aster macarena creve,Aster Macarena creve.,Aster Macarena creve.,0.0,0.0,True,correct
test,"[NAME], 1 gro prblm sa","[NAME], 1 gro problem sa.","[NAME], 1 gro problem sa.",0.0,0.0,True,correct
test,Eski li dan's govn sa,Eski li dans guvernman sa?,Eski li dans guvernman sa?,0.0,0.0,True,correct
test,"[NAME], dimune trop mov lor la terre","[NAME], dimunn trop move lor la terre.","[NAME], dimunn trop move lor la terre.",0.0,0.0,True,correct
test,Bizin so mari ine kit li astr li p rod venge li 😂🤦🏽‍♀️,Bizin so mari inn kite li aster li pe rode venge li. 😂🤦🏽‍♀️,Bizin so mari inn kite li aster li pe rode venge li. 😂🤦🏽‍♀️,0.0,0.0,True,correct
test,Dan 4ans zot oci nouS pou retirE..😂et pas bliyE nou oci nouS pou met latrap😉,Dan 4 ans zot osi nous pu retire..😂et pas bliye nu osi nous pu met latrap.😉,Dan 4 ans zot osi nous pu retire..😂et pas bliye nu osi nous pu met latrap.😉,0.0,0.0,True,correct
test,Trump pou vin moris,Trump pu vinn Moris.,Trump pu vinn Moris.,0.0,0.0,True,correct
test,Kifaire pas met so nom si li ene zafaire vrai,Kifer pas met so nom si li enn zafer vrai?,Kifer pas met so nom si li enn zafer vrai?,0.0,0.0,True,correct
test,I was there on 2 janvier dimoune pleins xtra. Place pou marser pena,I was there on 2 janvier dimunn pleins extra. Place pu marse pena.,I was there on 2 janvier dimunn pleins extra. Place pu marse pena.,0.0,0.0,True,correct
test,"[NAME], frere ena shift system","[NAME], frere ena shift system.","[NAME], frere ena shift system.",0.0,0.0,True,correct
test,"Allowance sunday / [NAME] pou bannes policiers bizin re introduire, après met smf/ssu faire patrols 24/7 surtout dans l’endroit chaud","Allowance Sunday / [NAME] pu bann policiers bizin re introduire, après met SMF/SSU faire patrols 24/7 surtout dans l’endroit chaud.","Allowance Sunday / [NAME] pu bann policiers bizin re introduire, après met SMF/SSU faire patrols 24/7 surtout dans l’endroit chaud.",0.0,0.0,True,correct
test,Berenger pou change toi,Berenger pu change toi.,Berenger pu change toi.,0.0,0.0,True,correct
test,ena pou dir camion la entord,Ena pu dir camion la antor.,Ena pu dir camion la antor.,0.0,0.0,True,correct
