text,standardized,split,prefixed_input,input_word_len,target_word_len,input_char_len,target_char_len,prefixed_input_token_len,target_token_len,input_token_word_ratio,target_token_word_ratio,input_has_unk,target_has_unk,input_truncated,target_truncated
La dan zenfant ki victime femme bizin pran contre pas laisse zote peige',Ladan zanfan ki victime femme bizin pran kont pas laisse zot pyez'.,train,restore Mauritian Creole text: La dan zenfant ki victime femme bizin pran contre pas laisse zote peige',13,12,72,67,36,29,2.769230769230769,2.4166666666666665,False,False,False,False
"Or believe li couyoun li kit so parliamentary place p ggn big salaries and all privilege, to go to a party that p leve astrrr","Or believe li kuyon. Li kite so parliamentary place, pe gagne big salaries and all privilege, to go to a party that pe leve aster.",train,"restore Mauritian Creole text: Or believe li couyoun li kit so parliamentary place p ggn big salaries and all privilege, to go to a party that p leve astrrr",25,25,125,130,53,42,2.12,1.68,False,False,False,False
Apres zot dire ena soldat dan moris. Mo sire vacabon lor simë pa fer sa erreur la. Kan tirë zot tire dan sire. Banla pe tire lor zot mem. Et pa laisser sa nouvel la ale dehors. Banla pou croire employ cloune dan la force policiere ici. Lol,Apre zot dire ena soldat dan Moris. Mo sir vacabon lor sime pa fer sa erreur la. Kan tire zot tire dan sir. Banla pe tire lor zot mem et pa laisser sa nouvel la ale dehors. Banla pu croire employ cloune dan la force policiere ici. Lol.,train,restore Mauritian Creole text: Apres zot dire ena soldat dan moris. Mo sire vacabon lor simë pa fer sa erreur la. Kan tirë zot tire dan sire. Banla pe tire lor zot mem. Et pa laisser sa nouvel la ale dehors. Banla pou croire employ cloune dan la force policiere ici. Lol,48,48,239,235,107,98,2.2291666666666665,2.0416666666666665,True,False,False,False
Et voilà c’est reparti avec bann intellectuel facebookien ki pou zet l’opprobre lor tiktok playstation etc etc alors ki pna okaine corrélation entre éducation et sa bann zafr la,"Et voilà. Se reparti avec bann intellectuel facebookien ki pu zet l’opprobre lor TikTok, playstation, etc etc. Alors ki pena okenn corrélation entre éducation et sa bann zafer la.",train,restore Mauritian Creole text: Et voilà c’est reparti avec bann intellectuel facebookien ki pou zet l’opprobre lor tiktok playstation etc etc alors ki pna okaine corrélation entre éducation et sa bann zafr la,29,29,177,179,81,72,2.793103448275862,2.4827586206896552,False,False,False,False
Wadir dan film,Wadire dan film.,train,restore Mauritian Creole text: Wadir dan film,3,3,14,16,15,7,5.0,2.3333333333333335,False,False,False,False
Aller navin vive changement bour pinok dehor. Aster chacha,"Ale Navin, viv changement boure Pinok deor. Aster chacha.",train,restore Mauritian Creole text: Aller navin vive changement bour pinok dehor. Aster chacha,9,9,58,57,31,22,3.4444444444444446,2.4444444444444446,False,False,False,False
Prix taxi osi pu monté lerla,Prix taxi osi pu monte lerla.,train,restore Mauritian Creole text: Prix taxi osi pu monté lerla,6,6,28,29,22,14,3.6666666666666665,2.3333333333333335,False,False,False,False
Inquiry.. Camion la en torr.. Li pas truv phare,Inquiry.. Camion la antor.. Li pas truve phare.,train,restore Mauritian Creole text: Inquiry.. Camion la en torr.. Li pas truv phare,9,8,47,47,34,24,3.7777777777777777,3.0,False,False,False,False
Li p frauder p peur pu met so nom,"Li pe frauder, pe peur pu met so nom.",train,restore Mauritian Creole text: Li p frauder p peur pu met so nom,9,9,33,37,22,13,2.4444444444444446,1.4444444444444444,False,False,False,False
Ki titre serie la svp?? Lors netflix ça🤔,Ki titre serie la svp?? Lor Netflix sa.🤔,train,restore Mauritian Creole text: Ki titre serie la svp?? Lors netflix ça🤔,8,8,40,40,26,17,3.25,2.125,True,True,False,False
Kan pou tir dimounes,Kan pu tire dimunn?,train,restore Mauritian Creole text: Kan pou tir dimounes,4,4,20,19,17,8,4.25,2.0,False,False,False,False
"[NAME], fer per ta zot croir bnela p casiet zafer la fini rent ici.","[NAME], fer per ta! Zot krwar banla pe kasyet zafer la fini rantre ici.",train,"restore Mauritian Creole text: [NAME], fer per ta zot croir bnela p casiet zafer la fini rent ici.",14,14,67,71,46,39,3.2857142857142856,2.7857142857142856,False,False,False,False
"[NAME], exactly no exploitation or modern slavery","[NAME], exactly. No exploitation or modern slavery.",train,"restore Mauritian Creole text: [NAME], exactly no exploitation or modern slavery",7,7,49,51,21,14,3.0,2.0,False,False,False,False
"Kuma arrive sa kiken, pou zt propre securité, nek lock zt massine, telephone la police et si gagne aller, bez simin alle station. Pa rode negocier are drogeur, ou pou fail.","Kuma arrive sa kiken? Pu zot propre sekirite, nek lock zot massine, telephone la police et si gagne ale, bez sime ale station. Pa rode negocier ar drogeur, ou pu fail.",train,"restore Mauritian Creole text: Kuma arrive sa kiken, pou zt propre securité, nek lock zt massine, telephone la police et si gagne aller, bez simin alle station. Pa rode negocier are drogeur, ou pou fail.",31,31,172,167,75,68,2.4193548387096775,2.193548387096774,False,False,False,False
