case_id,model_id,completed,failed,skipped,reason
CASE_P00016_T00019_REFERE_a4db700e,Qwen/Qwen3-4B-Instruct-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00104_T00005_EXPLIC_1a199729,Qwen/Qwen3-4B-Instruct-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00043_T00035_ATTRIB_14adbbe0,Qwen/Qwen3-4B-Instruct-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00030_T00027_ANSWER_5889434b,Qwen/Qwen3-4B-Instruct-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00022_T00007_REFERE_683402c1,Qwen/Qwen3-4B-Instruct-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00016_T00019_REFERE_a4db700e,Qwen/Qwen3-4B-Thinking-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00104_T00005_EXPLIC_1a199729,Qwen/Qwen3-4B-Thinking-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00043_T00035_ATTRIB_14adbbe0,Qwen/Qwen3-4B-Thinking-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00030_T00027_ANSWER_5889434b,Qwen/Qwen3-4B-Thinking-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00022_T00007_REFERE_683402c1,Qwen/Qwen3-4B-Thinking-2507,False,True,False,MODEL_LOAD_FAILED
CASE_P00016_T00019_REFERE_a4db700e,microsoft/Phi-4-mini-instruct,False,True,False,MODEL_LOAD_FAILED
CASE_P00104_T00005_EXPLIC_1a199729,microsoft/Phi-4-mini-instruct,False,True,False,MODEL_LOAD_FAILED
CASE_P00043_T00035_ATTRIB_14adbbe0,microsoft/Phi-4-mini-instruct,False,True,False,MODEL_LOAD_FAILED
CASE_P00030_T00027_ANSWER_5889434b,microsoft/Phi-4-mini-instruct,False,True,False,MODEL_LOAD_FAILED
CASE_P00022_T00007_REFERE_683402c1,microsoft/Phi-4-mini-instruct,False,True,False,MODEL_LOAD_FAILED
CASE_P00016_T00019_REFERE_a4db700e,google/gemma-3-4b-it,False,True,False,MODEL_LOAD_FAILED
CASE_P00104_T00005_EXPLIC_1a199729,google/gemma-3-4b-it,False,True,False,MODEL_LOAD_FAILED
CASE_P00043_T00035_ATTRIB_14adbbe0,google/gemma-3-4b-it,False,True,False,MODEL_LOAD_FAILED
CASE_P00030_T00027_ANSWER_5889434b,google/gemma-3-4b-it,False,True,False,MODEL_LOAD_FAILED
CASE_P00022_T00007_REFERE_683402c1,google/gemma-3-4b-it,False,True,False,MODEL_LOAD_FAILED
