split,input_text,target_text,prediction,sentence_cer,sentence_wer,exact_match,error_categories
test,Sofer simik ou ena pli boukou lalkol dn so disan so lizie flou li kwar li lor priorite pou li,Sofer simik ou ena plis buku lalkol dan so disang. So lizye flou li krwar li lor priorite pu li.,Sofer simiik  u nn pli bouu llalolo dond dodis so so so soi so li li li li li lor lor plir priri pori pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu pu ,2.03125,3.45,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Bour dife da loto la,Boure dife dan loto la.,Bour dife  da lot la la.,0.2608695652173913,0.8,False,capitalization_error;spacing_error;extra_word_error
test,"[NAME], 1 show sa. Zis pou couyone dimoune. Surtout ban militants coltar","[NAME], 1 show sa. Zis pu kuyon dimunn. Surtout bann militants coaltar.","[NAME], 1 1hhow sa si si pu ku ouyon dimunn . uur t tant mint tilttant tottant totta.",0.4507042253521127,1.25,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,ESKI LEGAL SA DIMOUN TRAVAY 24/7 SIRTOU DAN SECTEUR MEDICAL SERVICE BIZIN OUVER 24/7 MAIS PAR ROTATION,ESKI LEGAL SA DIMUNN travail 24/7?? SIRTU DAN SECTEUR MEDICAL? SERVICE BIZIN OUVER 24/7 MAIS PAR ROTATION.,EIE   ANA A A A   AME  NAME ANA SA SS SS SO  SA  ER  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN  IN,2.0849056603773586,3.764705882352941,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Ton polo ou fine bien faire pou ca pays la mo pense ou bizin alle repose kapav ou ena raison mais ou pas pou kapav change le monde.. Plito ou alle la tete haute.. Ou fine donne ou contribution,"Ton Polo, ou finn bien faire pu sa pays la. Mo pense ou bizin ale repose. Kapav ou ena raison, mais ou pas pu kapav change le monde.. Plito ou ale latet haute.. Ou finn donne ou contribution.",Ton polo  u finn binn faire pa pay pays  mo pe so pe se bizin  e pa pe pa pa pa pa sa sa an  a a a a pa sa pa a pa a pa pa  a pa  a a  a  a  a  a  a  e                               u  u  u  u  u  u  u n  ou ent  ou tou ent  ou tou ent  ou tou ent  ou tou,0.8167539267015707,1.605263157894737,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Ferme ta guele conasse,Ferme ta guele conasse.,Ferme ta guele consssese.,0.13043478260869565,0.25,False,capitalization_error;spacing_error
test,Geut so zar largent facile li faire my god,Get so zar larzan facile li faire my God.,Geut so  zar largent faccile li fire  e  oy godod.,0.36585365853658536,0.7777777777777778,False,capitalization_error;spacing_error;extra_word_error
test,Li p rod dir ou ki virus nepa fini rentre samem li p fer peur,"Li pe rode dir ou ki virus nepa fini rantre, samem li pe fer peur.",Li pe rodd dirr ou ki virus  n pa finn rentrere      pe pe pe pe perere perere.,0.3939393939393939,0.7333333333333333,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Sa zafer la pnna vaccine contre sa... à prendre vraiment au sérieux...... niveau maximal je dirai,Sa zafer la pena vaccine contre sa... à prendre vraiment au sérieux...... niveau maximal je dirai,Sa zafer la pann vacccccinnn conn rant sa... Perrder  raminn aure............................................................ Paimili di dimiili dire diri diri.,1.041237113402062,0.8125,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Mes sympathies a la famille vremem li pa facile,"Mes sympathies à la famille, vremem li pa facile.",Mes sympathiie  la la fammille vemmem li pa facile.,0.16326530612244897,0.4444444444444444,False,punctuation_error;capitalization_error;spacing_error
