text,standardized,split,input_char_len,target_char_len,input_byte_len,target_byte_len,input_byte_char_ratio,target_byte_char_ratio
La dan zenfant ki victime femme bizin pran contre pas laisse zote peige',Ladan zanfan ki victime femme bizin pran kont pas laisse zot pyez'.,train,72,67,72,67,1.0,1.0
"Or believe li couyoun li kit so parliamentary place p ggn big salaries and all privilege, to go to a party that p leve astrrr","Or believe li kuyon. Li kite so parliamentary place, pe gagne big salaries and all privilege, to go to a party that pe leve aster.",train,125,130,125,130,1.0,1.0
Apres zot dire ena soldat dan moris. Mo sire vacabon lor simë pa fer sa erreur la. Kan tirë zot tire dan sire. Banla pe tire lor zot mem. Et pa laisser sa nouvel la ale dehors. Banla pou croire employ cloune dan la force policiere ici. Lol,Apre zot dire ena soldat dan Moris. Mo sir vacabon lor sime pa fer sa erreur la. Kan tire zot tire dan sir. Banla pe tire lor zot mem et pa laisser sa nouvel la ale dehors. Banla pu croire employ cloune dan la force policiere ici. Lol.,train,239,235,241,235,1.00836820083682,1.0
Et voilà c’est reparti avec bann intellectuel facebookien ki pou zet l’opprobre lor tiktok playstation etc etc alors ki pna okaine corrélation entre éducation et sa bann zafr la,"Et voilà. Se reparti avec bann intellectuel facebookien ki pu zet l’opprobre lor TikTok, playstation, etc etc. Alors ki pena okenn corrélation entre éducation et sa bann zafer la.",train,177,179,184,184,1.03954802259887,1.0279329608938548
Wadir dan film,Wadire dan film.,train,14,16,14,16,1.0,1.0
Aller navin vive changement bour pinok dehor. Aster chacha,"Ale Navin, viv changement boure Pinok deor. Aster chacha.",train,58,57,58,57,1.0,1.0
Prix taxi osi pu monté lerla,Prix taxi osi pu monte lerla.,train,28,29,29,29,1.0357142857142858,1.0
Inquiry.. Camion la en torr.. Li pas truv phare,Inquiry.. Camion la antor.. Li pas truve phare.,train,47,47,47,47,1.0,1.0
Li p frauder p peur pu met so nom,"Li pe frauder, pe peur pu met so nom.",train,33,37,33,37,1.0,1.0
Ki titre serie la svp?? Lors netflix ça🤔,Ki titre serie la svp?? Lor Netflix sa.🤔,train,40,40,44,43,1.1,1.075
Kan pou tir dimounes,Kan pu tire dimunn?,train,20,19,20,19,1.0,1.0
"[NAME], fer per ta zot croir bnela p casiet zafer la fini rent ici.","[NAME], fer per ta! Zot krwar banla pe kasyet zafer la fini rantre ici.",train,67,71,67,71,1.0,1.0
"[NAME], exactly no exploitation or modern slavery","[NAME], exactly. No exploitation or modern slavery.",train,49,51,49,51,1.0,1.0
"Kuma arrive sa kiken, pou zt propre securité, nek lock zt massine, telephone la police et si gagne aller, bez simin alle station. Pa rode negocier are drogeur, ou pou fail.","Kuma arrive sa kiken? Pu zot propre sekirite, nek lock zot massine, telephone la police et si gagne ale, bez sime ale station. Pa rode negocier ar drogeur, ou pu fail.",train,172,167,173,167,1.005813953488372,1.0
Enfant gagne trop beaucoup facilité zot ferfoutre ek l'education pe alle l'ecole comment dire pe alle dans discotheque faux cils faux ongles la tete tout couleurs uniforme la ti capave pas met meme bane tifi la tous zot l'entraille dehors mo dire la faute aux parents carrémement a ne pas sortir de la,"Enfant gagne trop beaucoup facilité zot ferfoute ek ledikasyon. Pe ale l'ecole comment dire pe ale dans discotheque. Faux cils, faux ongles, latet tu couleurs, uniforme la ti kapav pas met mem bann tifi la tu zot l'entraille dehors. Mo dire la faute aux parents carrémement a ne pas sortir de la.",train,301,296,303,298,1.0066445182724253,1.0067567567567568
Sanla ena valise lotla coffre apres ggn gran gopia baboulall enkor fr sa ban voleur la confiance et p osi soutenir zot lorla zot p enkor croir zot lavie pu ameliorer r zot saem dir lespoir fait vive les imbecile nou en 2026 la essay kass lesprit ek mentaliter bloké ki zot ena la aret soutenir et garde confiance sa ban voleur ki p enrichi zot ek zot proche lerla ki nou pu trouve vrai changement,"Sanla ena valise, lot la coffre. Apre, gagne gran gopia baboulall ankor fer sa bann voleur la confiance et pe osi soutenir zot. Lor la zot pe ankor krwar zot lavi pu amelyor ar zot. Samem dir l’espoir fait viv les imbéciles. Nu en 2026 la, esey kase lespri ek mantalite bloke ki zot ena la. Aret soutenir et garde confiance sa bann voleur ki pe enrichi zot ek zot proche, lerla ki nu pu truve vrai changement.",train,396,409,397,412,1.0025252525252526,1.0073349633251834
Bizin mettre zotte nom full pou public conner ki senla sa.,Bizin met zot nom full pu public kone kisanla sa.,train,58,49,58,49,1.0,1.0
"[NAME], français ou francois sa","[NAME], Français ou francois sa?",train,31,32,32,33,1.032258064516129,1.03125
"[NAME], ale lecole trankil banes toutouk zot 🤣🤣🤣","[NAME], ale lekol trankil, bann toutouk zot.🤣🤣🤣",train,48,47,57,56,1.1875,1.1914893617021276
Eski ban zenfan safe dan lekol government,Eski bann zanfan safe dan lekol government?,train,41,43,41,43,1.0,1.0
Ale do,Ale dow!,train,6,8,6,8,1.0,1.0
