text,standardized,split,input_char_len,target_char_len,input_truncated,target_truncated,input_padding_needed,target_padding_needed
La dan zenfant ki victime femme bizin pran contre pas laisse zote peige',Ladan zanfan ki victime femme bizin pran kont pas laisse zot pyez'.,train,74,69,False,False,182,187
"Or believe li couyoun li kit so parliamentary place p ggn big salaries and all privilege, to go to a party that p leve astrrr","Or believe li kuyon. Li kite so parliamentary place, pe gagne big salaries and all privilege, to go to a party that pe leve aster.",train,127,132,False,False,129,124
Apres zot dire ena soldat dan moris. Mo sire vacabon lor simë pa fer sa erreur la. Kan tirë zot tire dan sire. Banla pe tire lor zot mem. Et pa laisser sa nouvel la ale dehors. Banla pou croire employ cloune dan la force policiere ici. Lol,Apre zot dire ena soldat dan Moris. Mo sir vacabon lor sime pa fer sa erreur la. Kan tire zot tire dan sir. Banla pe tire lor zot mem et pa laisser sa nouvel la ale dehors. Banla pu croire employ cloune dan la force policiere ici. Lol.,train,241,237,False,False,15,19
Et voilà c’est reparti avec bann intellectuel facebookien ki pou zet l’opprobre lor tiktok playstation etc etc alors ki pna okaine corrélation entre éducation et sa bann zafr la,"Et voilà. Se reparti avec bann intellectuel facebookien ki pu zet l’opprobre lor TikTok, playstation, etc etc. Alors ki pena okenn corrélation entre éducation et sa bann zafer la.",train,179,181,False,False,77,75
Wadir dan film,Wadire dan film.,train,16,18,False,False,240,238
Aller navin vive changement bour pinok dehor. Aster chacha,"Ale Navin, viv changement boure Pinok deor. Aster chacha.",train,60,59,False,False,196,197
Prix taxi osi pu monté lerla,Prix taxi osi pu monte lerla.,train,30,31,False,False,226,225
Inquiry.. Camion la en torr.. Li pas truv phare,Inquiry.. Camion la antor.. Li pas truve phare.,train,49,49,False,False,207,207
Li p frauder p peur pu met so nom,"Li pe frauder, pe peur pu met so nom.",train,35,39,False,False,221,217
Ki titre serie la svp?? Lors netflix ça🤔,Ki titre serie la svp?? Lor Netflix sa.🤔,train,42,42,False,False,214,214
Kan pou tir dimounes,Kan pu tire dimunn?,train,22,21,False,False,234,235
"[NAME], fer per ta zot croir bnela p casiet zafer la fini rent ici.","[NAME], fer per ta! Zot krwar banla pe kasyet zafer la fini rantre ici.",train,69,73,False,False,187,183
"[NAME], exactly no exploitation or modern slavery","[NAME], exactly. No exploitation or modern slavery.",train,51,53,False,False,205,203
"Kuma arrive sa kiken, pou zt propre securité, nek lock zt massine, telephone la police et si gagne aller, bez simin alle station. Pa rode negocier are drogeur, ou pou fail.","Kuma arrive sa kiken? Pu zot propre sekirite, nek lock zot massine, telephone la police et si gagne ale, bez sime ale station. Pa rode negocier ar drogeur, ou pu fail.",train,174,169,False,False,82,87
Enfant gagne trop beaucoup facilité zot ferfoutre ek l'education pe alle l'ecole comment dire pe alle dans discotheque faux cils faux ongles la tete tout couleurs uniforme la ti capave pas met meme bane tifi la tous zot l'entraille dehors mo dire la faute aux parents carrémement a ne pas sortir de la,"Enfant gagne trop beaucoup facilité zot ferfoute ek ledikasyon. Pe ale l'ecole comment dire pe ale dans discotheque. Faux cils, faux ongles, latet tu couleurs, uniforme la ti kapav pas met mem bann tifi la tu zot l'entraille dehors. Mo dire la faute aux parents carrémement a ne pas sortir de la.",train,303,298,True,True,0,0
Sanla ena valise lotla coffre apres ggn gran gopia baboulall enkor fr sa ban voleur la confiance et p osi soutenir zot lorla zot p enkor croir zot lavie pu ameliorer r zot saem dir lespoir fait vive les imbecile nou en 2026 la essay kass lesprit ek mentaliter bloké ki zot ena la aret soutenir et garde confiance sa ban voleur ki p enrichi zot ek zot proche lerla ki nou pu trouve vrai changement,"Sanla ena valise, lot la coffre. Apre, gagne gran gopia baboulall ankor fer sa bann voleur la confiance et pe osi soutenir zot. Lor la zot pe ankor krwar zot lavi pu amelyor ar zot. Samem dir l’espoir fait viv les imbéciles. Nu en 2026 la, esey kase lespri ek mantalite bloke ki zot ena la. Aret soutenir et garde confiance sa bann voleur ki pe enrichi zot ek zot proche, lerla ki nu pu truve vrai changement.",train,398,411,True,True,0,0
Bizin mettre zotte nom full pou public conner ki senla sa.,Bizin met zot nom full pu public kone kisanla sa.,train,60,51,False,False,196,205
"[NAME], français ou francois sa","[NAME], Français ou francois sa?",train,33,34,False,False,223,222
"[NAME], ale lecole trankil banes toutouk zot 🤣🤣🤣","[NAME], ale lekol trankil, bann toutouk zot.🤣🤣🤣",train,50,49,False,False,206,207
